location,subject,time,value
Australia,Public Services,2003,3.85505199
Australia,Social protection,2003,10.39056529
Australia,Culture & Religion,2004,0.919749256
Australia,Defence,2004,1.900260129
Australia,Economic Aaffairs,2004,4.39494619
Australia,Education,2004,5.705969991
Australia,Environment,2004,0.582749323
Australia,Health,2004,6.391214
Australia,Housing InFrancestructure,2004,0.646321976
Australia,Public Security,2004,1.738409343
Australia,Public Services,2004,3.952748652
Australia,Social protection,2004,10.12156648
Australia,Culture & Religion,2005,0.942933455
Australia,Defence,2005,1.938524623
Australia,Economic Aaffairs,2005,4.463692207
Australia,Education,2005,5.574409553
Australia,Environment,2005,0.600958651
Australia,Health,2005,6.343752753
Australia,Housing InFrancestructure,2005,0.684149828
Australia,Public Security,2005,1.749617581
Australia,Public Services,2005,3.888161425
Australia,Social protection,2005,9.818060594
Australia,Culture & Religion,2006,0.929444888
Australia,Defence,2006,1.978711439
Australia,Economic Aaffairs,2006,4.538796858
Australia,Education,2006,5.367165188
Australia,Environment,2006,0.666462063
Australia,Health,2006,6.287696961
Australia,Housing InFrancestructure,2006,0.691179876
Australia,Public Security,2006,1.832977421
Australia,Public Services,2006,3.882626226
Australia,Social protection,2006,9.68984199
Australia,Culture & Religion,2007,0.930837644
Australia,Defence,2007,1.847003739
Australia,Economic Aaffairs,2007,4.689552586
Australia,Education,2007,5.330012305
Australia,Environment,2007,0.663696738
Australia,Health,2007,6.374406036
Australia,Housing InFrancestructure,2007,0.748164148
Australia,Public Security,2007,1.824360367
Australia,Public Services,2007,3.698417423
Australia,Social protection,2007,9.5059759
Australia,Culture & Religion,2008,0.934223765
Australia,Defence,2008,2.014174703
Australia,Economic Aaffairs,2008,4.809075996
Australia,Education,2008,5.608276162
Australia,Environment,2008,0.718011577
Australia,Health,2008,6.564224217
Australia,Housing InFrancestructure,2008,0.758368014
Australia,Public Security,2008,1.828963236
Australia,Public Services,2008,3.739749346
Australia,Social protection,2008,11.2378009
Australia,Culture & Religion,2009,1.004971561
Australia,Defence,2009,2.071675446
Australia,Economic Aaffairs,2009,5.034213511
Australia,Education,2009,6.644391906
Australia,Environment,2009,0.83871606
Australia,Health,2009,6.865171236
Australia,Housing InFrancestructure,2009,0.805204227
Australia,Public Security,2009,1.900588719
Australia,Public Services,2009,4.209761069
Australia,Social protection,2009,9.905008907
Australia,Culture & Religion,2010,0.964746972
Australia,Defence,2010,1.924417814
Australia,Economic Aaffairs,2010,4.463541039
Australia,Education,2010,6.424690303
Australia,Environment,2010,0.89664221
Australia,Health,2010,6.826832713
Australia,Housing InFrancestructure,2010,0.690424372
Australia,Public Security,2010,1.84510326
Australia,Public Services,2010,4.165811832
Australia,Social protection,2010,9.606296659
Australia,Culture & Religion,2011,0.943089344
Australia,Defence,2011,1.859248515
Australia,Economic Aaffairs,2011,4.700581798
Australia,Education,2011,5.876710466
Australia,Environment,2011,1.011547978
Australia,Health,2011,7.182023976
Australia,Housing InFrancestructure,2011,0.575799106
Australia,Public Security,2011,1.834784719
Australia,Public Services,2011,4.532401532
Australia,Social protection,2011,9.792650996
Australia,Culture & Religion,2012,0.911488333
Australia,Defence,2012,1.867298233
Australia,Economic Aaffairs,2012,4.639511408
Australia,Education,2012,5.912145672
Australia,Environment,2012,1.045234032
Australia,Health,2012,7.115075971
Australia,Housing InFrancestructure,2012,0.571299149
Australia,Public Security,2012,1.807226563
Australia,Public Services,2012,4.371304095
Australia,Social protection,2012,9.923540415
Australia,Culture & Religion,2013,0.901603093
Australia,Defence,2013,1.904857822
Australia,Economic Aaffairs,2013,4.762113278
Australia,Education,2013,5.769371518
Australia,Environment,2013,1.028839664
Australia,Health,2013,7.054560968
Australia,Housing InFrancestructure,2013,0.560241262
Australia,Public Security,2013,1.782563085
Australia,Public Services,2013,4.583018735
Australia,Social protection,2013,10.12187562
Australia,Culture & Religion,2014,0.900446928
Australia,Defence,2014,2.039604387
Australia,Economic Aaffairs,2014,4.714024783
Australia,Education,2014,5.801435959
Australia,Environment,2014,0.824613982
Australia,Health,2014,7.175854199
Australia,Housing InFrancestructure,2014,0.584116971
Australia,Public Security,2014,1.866377545
Australia,Public Services,2014,4.688274847
Australia,Social protection,2014,10.48570663
Australia,Culture & Religion,2015,0.946705294
Australia,Defence,2015,2.196993372
Australia,Economic Aaffairs,2015,4.538779805
Australia,Education,2015,5.856637978
Australia,Environment,2015,0.858321197
Australia,Health,2015,7.477294638
Australia,Housing InFrancestructure,2015,0.555884692
Australia,Public Security,2015,1.912595669
Australia,Public Services,2015,4.596757359
Australia,Social protection,2015,10.55541411
Australia,Culture & Religion,2016,0.909241836
Australia,Defence,2016,2.225800363
Australia,Economic Aaffairs,2016,4.520794529
Australia,Education,2016,5.738707821
Australia,Environment,2016,0.873138249
Australia,Health,2016,7.652027373
Australia,Housing InFrancestructure,2016,0.542065512
Australia,Public Security,2016,1.902232623
Australia,Public Services,2016,4.392697865
Australia,Social protection,2016,10.06090419
Australia,Culture & Religion,2017,0.98228895
Australia,Defence,2017,2.259590206
Australia,Economic Aaffairs,2017,4.856089242
Australia,Education,2017,5.844456444
Australia,Environment,2017,0.915753798
Australia,Health,2017,7.53952899
Australia,Housing InFrancestructure,2017,0.560013242
Australia,Public Security,2017,1.981727255
Australia,Public Services,2017,4.138204256
Australia,Social protection,2017,9.811764131
Australia,Culture & Religion,2018,0.944255484
Australia,Defence,2018,2.307957463
Australia,Economic Aaffairs,2018,4.854740002
Australia,Education,2018,5.918947423
Australia,Environment,2018,0.905778396
Australia,Health,2018,7.458236434
Australia,Housing InFrancestructure,2018,0.611729193
Australia,Public Security,2018,2.013394547
Australia,Public Services,2018,4.068399831
Australia,Social protection,2018,9.794293987
Australia,Culture & Religion,2019,0.976068859
Australia,Defence,2019,2.511984262
Australia,Economic Aaffairs,2019,7.561009987
Australia,Education,2019,6.360739814
Australia,Environment,2019,0.966874483
Australia,Health,2019,7.872709426
Australia,Housing InFrancestructure,2019,0.623297841
Australia,Public Security,2019,2.11657559
Australia,Public Services,2019,4.027742766
Australia,Social protection,2019,11.03153317
Australia,Culture & Religion,2020,0.974851701
Australia,Defence,2020,2.479115986
Australia,Economic Aaffairs,2020,9.161519867
Australia,Education,2020,6.086514303
Australia,Environment,2020,0.969948842
Australia,Health,2020,8.212095736
Australia,Housing InFrancestructure,2020,0.677748088
Australia,Public Security,2020,2.14341438
Australia,Public Services,2020,3.654984885
Australia,Social protection,2020,11.78738514
Australia,Culture & Religion,2021,0.922240349
Australia,Defence,2021,2.402242306
Australia,Economic Aaffairs,2021,5.929968632
Australia,Education,2021,5.792856026
Australia,Environment,2021,0.912842549
Australia,Health,2021,8.222858655
Australia,Housing InFrancestructure,2021,0.680192858
Australia,Public Security,2021,2.050106299
Australia,Public Services,2021,3.811998955
Australia,Social protection,2021,10.75957179
Estonia,Culture & Religion,1995,2.037294938
Estonia,Defence,1995,1.233559371
Estonia,Economic Aaffairs,1995,5.126435118
Estonia,Education,1995,7.310499159
Estonia,Environment,1995,0.580087409
Estonia,Health,1995,4.853863926
Estonia,Housing InFrancestructure,1995,0.398373281
Estonia,Public Security,1995,3.047206151
Estonia,Public Services,1995,4.17942495
Estonia,Social protection,1995,10.93779272
Estonia,Culture & Religion,1996,2.233713862
Estonia,Defence,1996,1.108704691
Estonia,Economic Aaffairs,1996,4.752756137
Estonia,Education,1996,6.972882931
Estonia,Environment,1996,0.58967872
Estonia,Health,1996,5.027214896
Estonia,Housing InFrancestructure,1996,0.315219961
Estonia,Public Security,1996,2.839697063
Estonia,Public Services,1996,4.059815705
Estonia,Social protection,1996,11.03541605
Estonia,Culture & Religion,1997,2.116771249
Estonia,Defence,1997,1.20052419
Estonia,Economic Aaffairs,1997,4.611849755
Estonia,Education,1997,6.525253518
Estonia,Environment,1997,0.656024147
Estonia,Health,1997,4.450030466
Estonia,Housing InFrancestructure,1997,0.295210866
Estonia,Public Security,1997,2.696259245
Estonia,Public Services,1997,3.820247284
Estonia,Social protection,1997,10.36955502
Estonia,Culture & Religion,1998,2.25667199
Estonia,Defence,1998,1.225386615
Estonia,Economic Aaffairs,1998,5.59364482
Estonia,Education,1998,6.789622156
Estonia,Environment,1998,0.629358565
Estonia,Health,1998,4.605493053
Estonia,Housing InFrancestructure,1998,0.286250313
Estonia,Public Security,1998,2.746826636
Estonia,Public Services,1998,4.385903772
Estonia,Social protection,1998,10.55793107
Estonia,Culture & Religion,1999,2.243433136
Estonia,Defence,1999,1.135587754
Estonia,Economic Aaffairs,1999,5.052810656
Estonia,Education,1999,7.133488544
Estonia,Environment,1999,0.623278621
Estonia,Health,1999,5.086101503
Estonia,Housing InFrancestructure,1999,0.373597274
Estonia,Public Security,1999,2.988778192
Estonia,Public Services,1999,3.815500873
Estonia,Social protection,1999,11.65179617
Estonia,Culture & Religion,2000,1.968680991
Estonia,Defence,2000,1.200652358
Estonia,Economic Aaffairs,2000,4.543359259
Estonia,Education,2000,6.403479241
Estonia,Environment,2000,0.531462852
Estonia,Health,2000,4.52553581
Estonia,Housing InFrancestructure,2000,0.382394003
Estonia,Public Security,2000,2.752912761
Estonia,Public Services,2000,3.546866412
Estonia,Social protection,2000,10.50935384
Estonia,Culture & Religion,2001,2.025169754
Estonia,Defence,2001,1.293818698
Estonia,Economic Aaffairs,2001,4.370931752
Estonia,Education,2001,6.343146538
Estonia,Environment,2001,0.725626195
Estonia,Health,2001,4.338013799
Estonia,Housing InFrancestructure,2001,0.34349169
Estonia,Public Security,2001,2.528957566
Estonia,Public Services,2001,2.999827424
Estonia,Social protection,2001,9.997039388
Estonia,Culture & Religion,2002,2.248618742
Estonia,Defence,2002,1.353773308
Estonia,Economic Aaffairs,2002,4.600783885
Estonia,Education,2002,6.520866517
Estonia,Environment,2002,0.61744335
Estonia,Health,2002,4.375794175
Estonia,Housing InFrancestructure,2002,0.360494875
Estonia,Public Security,2002,2.664082694
Estonia,Public Services,2002,3.360783782
Estonia,Social protection,2002,9.770433795
Estonia,Culture & Religion,2003,2.184248547
Estonia,Defence,2003,1.327702912
Estonia,Economic Aaffairs,2003,4.478281313
Estonia,Education,2003,6.27027999
Estonia,Environment,2003,0.714741017
Estonia,Health,2003,4.274723072
Estonia,Housing InFrancestructure,2003,0.378526842
Estonia,Public Security,2003,2.537616505
Estonia,Public Services,2003,3.119701589
Estonia,Social protection,2003,9.751354637
Estonia,Culture & Religion,2004,2.149842729
Estonia,Defence,2004,1.358226044
Estonia,Economic Aaffairs,2004,3.863989453
Estonia,Education,2004,6.158041423
Estonia,Environment,2004,0.697522712
Estonia,Health,2004,4.219910133
Estonia,Housing InFrancestructure,2004,0.279213637
Estonia,Public Security,2004,2.180525546
Estonia,Public Services,2004,3.150102572
Estonia,Social protection,2004,10.00157566
Estonia,Culture & Religion,2005,2.318555428
Estonia,Defence,2005,1.377909557
Estonia,Economic Aaffairs,2005,4.067610169
Estonia,Education,2005,5.898651852
Estonia,Environment,2005,0.926540591
Estonia,Health,2005,4.11609707
Estonia,Housing InFrancestructure,2005,0.176316002
Estonia,Public Security,2005,2.117555186
Estonia,Public Services,2005,3.107569538
Estonia,Social protection,2005,9.610985277
Estonia,Culture & Religion,2006,2.203563582
Estonia,Defence,2006,1.295606949
Estonia,Economic Aaffairs,2006,4.32532263
Estonia,Education,2006,5.856762471
Estonia,Environment,2006,0.792251121
Estonia,Health,2006,4.309846097
Estonia,Housing InFrancestructure,2006,0.012528622
Estonia,Public Security,2006,1.998683758
Estonia,Public Services,2006,3.434316486
Estonia,Social protection,2006,9.20706349
Estonia,Culture & Religion,2007,2.058978823
Estonia,Defence,2007,1.255385667
Estonia,Economic Aaffairs,2007,4.36244995
Estonia,Education,2007,5.736728383
Estonia,Environment,2007,0.854808502
Estonia,Health,2007,4.403300285
Estonia,Housing InFrancestructure,2007,0.58044058
Estonia,Public Security,2007,2.11873006
Estonia,Public Services,2007,3.344849815
Estonia,Social protection,2007,9.022436668
Estonia,Culture & Religion,2008,2.357675401
Estonia,Defence,2008,1.695745095
Estonia,Economic Aaffairs,2008,4.919947442
Estonia,Education,2008,6.483306476
Estonia,Environment,2008,1.075335871
Estonia,Health,2008,5.249709086
Estonia,Housing InFrancestructure,2008,0.577684631
Estonia,Public Security,2008,2.659756323
Estonia,Public Services,2008,3.162823356
Estonia,Social protection,2008,11.26906259
Estonia,Culture & Religion,2009,2.463229193
Estonia,Defence,2009,2.230421837
Estonia,Economic Aaffairs,2009,6.27447666
Estonia,Education,2009,7.017478858
Estonia,Environment,2009,0.770599423
Estonia,Health,2009,5.927034679
Estonia,Housing InFrancestructure,2009,0.047410616
Estonia,Public Security,2009,2.348594568
Estonia,Public Services,2009,3.754637775
Estonia,Social protection,2009,15.01925872
Estonia,Culture & Religion,2010,2.197935994
Estonia,Defence,2010,1.740032662
Estonia,Economic Aaffairs,2010,4.659081608
Estonia,Education,2010,6.517151573
Estonia,Environment,2010,-0.258460992
Estonia,Health,2010,5.671895941
Estonia,Housing InFrancestructure,2010,0.47418434
Estonia,Public Security,2010,2.180976612
Estonia,Public Services,2010,3.296225616
Estonia,Social protection,2010,13.79544024
Estonia,Culture & Religion,2011,1.994932536
Estonia,Defence,2011,1.51283883
Estonia,Economic Aaffairs,2011,4.517529824
Estonia,Education,2011,6.084933986
Estonia,Environment,2011,-0.172090664
Estonia,Health,2011,5.234674192
Estonia,Housing InFrancestructure,2011,0.543854466
Estonia,Public Security,2011,2.059091773
Estonia,Public Services,2011,3.406435748
Estonia,Social protection,2011,12.24362111
Estonia,Culture & Religion,2012,1.865858858
Estonia,Defence,2012,1.826789124
Estonia,Economic Aaffairs,2012,4.609670448
Estonia,Education,2012,6.128924953
Estonia,Environment,2012,0.883534123
Estonia,Health,2012,5.238135023
Estonia,Housing InFrancestructure,2012,0.659162223
Estonia,Public Security,2012,2.031626157
Estonia,Public Services,2012,3.988461681
Estonia,Social protection,2012,12.01450128
Estonia,Culture & Religion,2013,2.094572026
Estonia,Defence,2013,1.83387422
Estonia,Economic Aaffairs,2013,4.624345461
Estonia,Education,2013,5.909855331
Estonia,Environment,2013,0.666286481
Estonia,Health,2013,5.234050471
Estonia,Housing InFrancestructure,2013,0.600186632
Estonia,Public Security,2013,1.870361337
Estonia,Public Services,2013,3.955943784
Estonia,Social protection,2013,11.63515988
Estonia,Culture & Religion,2014,2.02262285
Estonia,Defence,2014,1.787689345
Estonia,Economic Aaffairs,2014,4.608886592
Estonia,Education,2014,5.521186762
Estonia,Environment,2014,0.683352233
Estonia,Health,2014,5.305207553
Estonia,Housing InFrancestructure,2014,0.512763573
Estonia,Public Security,2014,1.919371819
Estonia,Public Services,2014,3.901093294
Estonia,Social protection,2014,11.50226459
Estonia,Culture & Religion,2015,1.996475104
Estonia,Defence,2015,1.885479037
Estonia,Economic Aaffairs,2015,4.686069752
Estonia,Education,2015,5.921082756
Estonia,Environment,2015,0.724624977
Estonia,Health,2015,5.677279169
Estonia,Housing InFrancestructure,2015,0.357223149
Estonia,Public Security,2015,1.777875864
Estonia,Public Services,2015,4.029302632
Estonia,Social protection,2015,12.46985069
Estonia,Culture & Religion,2016,2.060427895
Estonia,Defence,2016,2.365284778
Estonia,Economic Aaffairs,2016,4.29512541
Estonia,Education,2016,5.65847482
Estonia,Environment,2016,0.592240823
Estonia,Health,2016,5.402358253
Estonia,Housing InFrancestructure,2016,0.341642028
Estonia,Public Security,2016,1.912367689
Estonia,Public Services,2016,3.963139483
Estonia,Social protection,2016,12.80582836
Estonia,Culture & Religion,2017,2.14486981
Estonia,Defence,2017,2.03745849
Estonia,Economic Aaffairs,2017,4.685818866
Estonia,Education,2017,5.684828064
Estonia,Environment,2017,0.735515802
Estonia,Health,2017,5.24511297
Estonia,Housing InFrancestructure,2017,0.356219575
Estonia,Public Security,2017,1.900676886
Estonia,Public Services,2017,3.851283253
Estonia,Social protection,2017,12.59523608
Estonia,Culture & Religion,2018,1.963583804
Estonia,Defence,2018,2.043021797
Estonia,Economic Aaffairs,2018,4.027043531
Estonia,Education,2018,6.203104687
Estonia,Environment,2018,0.745791649
Estonia,Health,2018,5.438417593
Estonia,Housing InFrancestructure,2018,0.333562449
Estonia,Public Security,2018,1.856381074
Estonia,Public Services,2018,3.882435533
Estonia,Social protection,2018,12.77756271
Estonia,Culture & Religion,2019,2.032435063
Estonia,Defence,2019,2.115994329
Estonia,Economic Aaffairs,2019,3.956459183
Estonia,Education,2019,6.114953483
Estonia,Environment,2019,0.674597
Estonia,Health,2019,5.681669878
Estonia,Housing InFrancestructure,2019,0.40699125
Estonia,Public Security,2019,1.799045391
Estonia,Public Services,2019,3.546586579
Estonia,Social protection,2019,13.05973691
Estonia,Culture & Religion,2020,2.019298574
Estonia,Defence,2020,2.397962569
Estonia,Economic Aaffairs,2020,5.766251626
Estonia,Education,2020,6.409252218
Estonia,Environment,2020,0.670672191
Estonia,Health,2020,6.558897316
Estonia,Housing InFrancestructure,2020,0.403786895
Estonia,Public Security,2020,1.969416875
Estonia,Public Services,2020,3.975607849
Estonia,Social protection,2020,14.69871681
Estonia,Culture & Religion,2021,2.051524227
Estonia,Defence,2021,2.035305387
Estonia,Economic Aaffairs,2021,4.825899882
Estonia,Education,2021,5.91065405
Estonia,Environment,2021,0.554620718
Estonia,Health,2021,6.491988151
Estonia,Housing InFrancestructure,2021,0.461123877
Estonia,Public Security,2021,1.826050552
Estonia,Public Services,2021,3.836550654
Estonia,Social protection,2021,13.47753786
Finland,Culture & Religion,1990,1.433612946
Finland,Defence,1990,1.520465265
Finland,Economic Aaffairs,1990,6.392990248
Finland,Education,1990,6.243472334
Finland,Environment,1990,0.240767818
Finland,Health,1990,5.849888411
Finland,Housing InFrancestructure,1990,0.679426995
Finland,Public Security,1990,1.250013742
Finland,Public Services,1990,5.62231335
Finland,Social protection,1990,18.64466408
Finland,Culture & Religion,1991,1.512100254
Finland,Defence,1991,1.804393606
Finland,Economic Aaffairs,1991,7.382133281
Finland,Education,1991,7.181900827
Finland,Environment,1991,0.295745636
Finland,Health,1991,6.700882634
Finland,Housing InFrancestructure,1991,0.773311546
Finland,Public Security,1991,1.469522089
Finland,Public Services,1991,6.733103948
Finland,Social protection,1991,22.82419821
Finland,Culture & Religion,1992,1.483805525
Finland,Defence,1992,2.073553349
Finland,Economic Aaffairs,1992,7.534618197
Finland,Education,1992,7.400155693
Finland,Environment,1992,0.334976764
Finland,Health,1992,6.808048878
Finland,Housing InFrancestructure,1992,0.75605671
Finland,Public Security,1992,1.533344342
Finland,Public Services,1992,7.185487486
Finland,Social protection,1992,26.693166
Finland,Culture & Religion,1993,1.243757876
Finland,Defence,1993,1.954309983
Finland,Economic Aaffairs,1993,8.482288701
Finland,Education,1993,7.274700145
Finland,Environment,1993,0.312689597
Finland,Health,1993,6.734493863
Finland,Housing InFrancestructure,1993,0.655714752
Finland,Public Security,1993,1.446772763
Finland,Public Services,1993,8.577962384
Finland,Social protection,1993,27.47934849
Finland,Culture & Religion,1994,1.169158889
Finland,Defence,1994,1.975779347
Finland,Economic Aaffairs,1994,8.525713782
Finland,Education,1994,7.032584381
Finland,Environment,1994,0.333887977
Finland,Health,1994,6.233677506
Finland,Housing InFrancestructure,1994,0.611576987
Finland,Public Security,1994,1.411585803
Finland,Public Services,1994,8.268961641
Finland,Social protection,1994,27.02068342
Finland,Culture & Religion,1995,1.232889223
Finland,Defence,1995,1.845782301
Finland,Economic Aaffairs,1995,8.900141047
Finland,Education,1995,6.924474119
Finland,Environment,1995,0.305431816
Finland,Health,1995,6.203005611
Finland,Housing InFrancestructure,1995,0.742777704
Finland,Public Security,1995,1.393215558
Finland,Public Services,1995,8.406985358
Finland,Social protection,1995,25.09614506
Finland,Culture & Religion,1996,1.319514513
Finland,Defence,1996,1.896495989
Finland,Economic Aaffairs,1996,6.754307769
Finland,Education,1996,6.835614157
Finland,Environment,1996,0.328164337
Finland,Health,1996,6.374224895
Finland,Housing InFrancestructure,1996,0.774859673
Finland,Public Security,1996,1.427269967
Finland,Public Services,1996,8.932927128
Finland,Social protection,1996,24.85330564
Finland,Culture & Religion,1997,1.34287545
Finland,Defence,1997,1.804037651
Finland,Economic Aaffairs,1997,5.591704495
Finland,Education,1997,6.429196711
Finland,Environment,1997,0.332108982
Finland,Health,1997,6.216213777
Finland,Housing InFrancestructure,1997,0.610069761
Finland,Public Security,1997,1.323021109
Finland,Public Services,1997,9.118557492
Finland,Social protection,1997,23.29726461
Finland,Culture & Religion,1998,1.240931653
Finland,Defence,1998,1.646828361
Finland,Economic Aaffairs,1998,5.380414031
Finland,Education,1998,6.132443515
Finland,Environment,1998,0.332851902
Finland,Health,1998,5.826983416
Finland,Housing InFrancestructure,1998,0.490562279
Finland,Public Security,1998,1.304845859
Finland,Public Services,1998,8.330428142
Finland,Social protection,1998,21.63620366
Finland,Culture & Religion,1999,1.173216931
Finland,Defence,1999,1.511235778
Finland,Economic Aaffairs,1999,5.539096725
Finland,Education,1999,5.959847458
Finland,Environment,1999,0.309653629
Finland,Health,1999,5.775473542
Finland,Housing InFrancestructure,1999,0.400264742
Finland,Public Security,1999,1.308739639
Finland,Public Services,1999,7.875287592
Finland,Social protection,1999,21.12735983
Finland,Culture & Religion,2000,1.125020155
Finland,Defence,2000,1.389601442
Finland,Economic Aaffairs,2000,4.791779657
Finland,Education,2000,5.853769367
Finland,Environment,2000,0.312953489
Finland,Health,2000,5.718913531
Finland,Housing InFrancestructure,2000,0.428020697
Finland,Public Security,2000,1.288459565
Finland,Public Services,2000,7.505020448
Finland,Social protection,2000,19.53137597
Finland,Culture & Religion,2001,1.063417872
Finland,Defence,2001,1.291589457
Finland,Economic Aaffairs,2001,4.59316315
Finland,Education,2001,5.894432613
Finland,Environment,2001,0.300080206
Finland,Health,2001,5.845341151
Finland,Housing InFrancestructure,2001,0.417623144
Finland,Public Security,2001,1.281218021
Finland,Public Services,2001,7.403130791
Finland,Social protection,2001,19.18715601
Finland,Culture & Religion,2002,1.086297698
Finland,Defence,2002,1.299785838
Finland,Economic Aaffairs,2002,4.914941476
Finland,Education,2002,6.106973048
Finland,Environment,2002,0.297671161
Finland,Health,2002,6.195196854
Finland,Housing InFrancestructure,2002,0.387915359
Finland,Public Security,2002,1.247255634
Finland,Public Services,2002,6.995945746
Finland,Social protection,2002,19.9379066
Finland,Culture & Religion,2003,1.105114366
Finland,Defence,2003,1.398361768
Finland,Economic Aaffairs,2003,4.73676927
Finland,Education,2003,6.290651009
Finland,Environment,2003,0.302473163
Finland,Health,2003,6.41915268
Finland,Housing InFrancestructure,2003,0.332786378
Finland,Public Security,2003,1.297537381
Finland,Public Services,2003,7.115697632
Finland,Social protection,2003,20.34148495
Finland,Culture & Religion,2004,1.105456103
Finland,Defence,2004,1.480240366
Finland,Economic Aaffairs,2004,4.705904584
Finland,Education,2004,6.218899205
Finland,Environment,2004,0.284710062
Finland,Health,2004,6.477153907
Finland,Housing InFrancestructure,2004,0.304866526
Finland,Public Security,2004,1.250960582
Finland,Public Services,2004,7.00878066
Finland,Social protection,2004,20.2862218
Finland,Culture & Religion,2005,1.065657884
Finland,Defence,2005,1.523496087
Finland,Economic Aaffairs,2005,4.692537966
Finland,Education,2005,6.102485321
Finland,Environment,2005,0.313928847
Finland,Health,2005,6.658691943
Finland,Housing InFrancestructure,2005,0.271423974
Finland,Public Security,2005,1.278182249
Finland,Public Services,2005,7.041843011
Finland,Social protection,2005,20.07140819
Finland,Culture & Religion,2006,1.046287674
Finland,Defence,2006,1.421655668
Finland,Economic Aaffairs,2006,4.651902578
Finland,Education,2006,5.969450019
Finland,Environment,2006,0.314059816
Finland,Health,2006,6.672180547
Finland,Housing InFrancestructure,2006,0.280513832
Finland,Public Security,2006,1.226741933
Finland,Public Services,2006,6.867672661
Finland,Social protection,2006,19.61919524
Finland,Culture & Religion,2007,1.047190387
Finland,Defence,2007,1.351351351
Finland,Economic Aaffairs,2007,4.423965104
Finland,Education,2007,5.767832706
Finland,Environment,2007,0.319128464
Finland,Health,2007,6.465425077
Finland,Housing InFrancestructure,2007,0.323939446
Finland,Public Security,2007,1.180294218
Finland,Public Services,2007,6.653587923
Finland,Social protection,2007,19.03705525
Finland,Culture & Religion,2008,1.080997606
Finland,Defence,2008,1.436182534
Finland,Economic Aaffairs,2008,4.63645021
Finland,Education,2008,5.821429491
Finland,Environment,2008,0.305767894
Finland,Health,2008,6.700126116
Finland,Housing InFrancestructure,2008,0.398424832
Finland,Public Security,2008,1.243147247
Finland,Public Services,2008,6.962139346
Finland,Social protection,2008,19.29117443
Finland,Culture & Religion,2009,1.185163992
Finland,Defence,2009,1.586271025
Finland,Economic Aaffairs,2009,4.95358933
Finland,Education,2009,6.480987307
Finland,Environment,2009,0.340583338
Finland,Health,2009,7.407550056
Finland,Housing InFrancestructure,2009,0.489141499
Finland,Public Security,2009,1.394245847
Finland,Public Services,2009,7.728325639
Finland,Social protection,2009,22.52581886
Finland,Culture & Religion,2010,1.220879863
Finland,Defence,2010,1.497265378
Finland,Economic Aaffairs,2010,4.853754857
Finland,Education,2010,6.539174989
Finland,Environment,2010,0.276385515
Finland,Health,2010,7.329531261
Finland,Housing InFrancestructure,2010,0.486863715
Finland,Public Security,2010,1.451023955
Finland,Public Services,2010,7.656410284
Finland,Social protection,2010,22.59557889
Finland,Culture & Religion,2011,1.192436287
Finland,Defence,2011,1.371225972
Finland,Economic Aaffairs,2011,4.772270427
Finland,Education,2011,6.424307316
Finland,Environment,2011,0.242426691
Finland,Health,2011,7.363710745
Finland,Housing InFrancestructure,2011,0.508590996
Finland,Public Security,2011,1.337892302
Finland,Public Services,2011,7.973817917
